UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency
361,LH,1,1500,0,MAN,JNB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,939,MAN,MAN,GB,1,15:05,FRA,FRA,DE,1,0,17:45,319,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
361,LH,1,1500,0,MAN,JNB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,2,LH,572,FRA,FRA,DE,1,22:05,JNB,JNB,ZA,A,1,08:30,74H,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
361,LH,1,1500,0,MAN,JNB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,3,LH,573,JNB,JNB,ZA,A,19:00,FRA,FRA,DE,1,1,05:35,74H,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
361,LH,1,1500,0,MAN,JNB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,4,LH,940,FRA,FRA,DE,1,07:40,MAN,MAN,GB,1,0,08:20,319,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
360,LH,1,1500,0,MAN,JNB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,947,MAN,MAN,GB,1,18:10,FRA,FRA,DE,1,0,20:50,32N,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
360,LH,1,1500,0,MAN,JNB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,2,LH,572,FRA,FRA,DE,1,22:05,JNB,JNB,ZA,A,1,08:30,74H,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
360,LH,1,1500,0,MAN,JNB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,3,LH,573,JNB,JNB,ZA,A,19:00,FRA,FRA,DE,1,1,05:35,74H,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
360,LH,1,1500,0,MAN,JNB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,4,LH,940,FRA,FRA,DE,1,07:40,MAN,MAN,GB,1,0,08:20,319,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
359,LH,1,2500,0,MAN,LOS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,949,MAN,MAN,GB,1,06:15,FRA,FRA,DE,1,0,09:00,E90,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
359,LH,1,2500,0,MAN,LOS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,2,LH,568,FRA,FRA,DE,1,11:05,LOS,LOS,NG,I,0,17:40,333,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
