UniqueId,ValCarrier,AirV,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,OfferType,ValidFromDate,ValidToDate,Status,ModifiedBy,OperatingCarrierCode,FltNum,SerialId,D_AirportCode,D_AirportCityCode,D_Terminal,D_AirportCountryCode,D_Time,D_DateTimeStamp,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,A_Time,A_DateTimeStamp,EquipType,IsNextDayCount,IsReturn,BaggageInfo
192,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,6950,1,LHR,LON,5,GB,12:50,T12:50:00.000+01:00,DFW,DFW,US,I,16:55,T16:55:00.000-05:00,788,0,FALSE,0 Pcs included
192,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,1241,2,DFW,DFW,N,US,19:05,T19:05:00.000-04:00,SEA,SEA,US,N,21:33,T21:33:00.000-04:00,319,0,FALSE,0 Pcs included
192,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,6907,3,SEA,SEA,3,US,19:20,T19:20:00.000-04:00,LHR,LON,GB,N,12:40,T12:40:00.000+01:00,772,0,TRUE,0 Pcs included
191,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,21,1,LHR,LON,5,GB,11:00,T11:00:00.000+01:00,DFW,DFW,US,I,15:00,T15:00:00.000-05:00,788,0,FALSE,0 Pcs included
191,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,2009,2,DFW,DFW,N,US,16:45,T16:45:00.000-04:00,SEA,SEA,US,N,19:04,T19:04:00.000-04:00,319,0,FALSE,0 Pcs included
191,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,6907,3,SEA,SEA,3,US,19:20,T19:20:00.000-04:00,LHR,LON,GB,N,12:40,T12:40:00.000+01:00,772,0,TRUE,0 Pcs included
190,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,5943,1,LHR,LON,5,GB,9:15,T09:15:00.000+01:00,ORD,ORD,US,I,11:50,T11:50:00.000-05:00,788,0,FALSE,0 Pcs included
190,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,3048,2,ORD,ORD,N,US,13:28,T13:28:00.000-04:00,SEA,SEA,US,N,16:07,T16:07:00.000-04:00,319,0,FALSE,0 Pcs included
190,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,5752,3,SEA,SEA,3,US,19:20,T19:20:00.000-04:00,LHR,LON,GB,N,12:40,T12:40:00.000+01:00,772,0,TRUE,0 Pcs included
189,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5936,1,LHR,LON,5,GB,11:20,T11:20:00.000+01:00,BOS,BOS,US,E,13:35,T13:35:00.000-05:00,789,0,FALSE,0 Pcs included
189,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5728,2,BOS,BOS,B,US,15:26,T15:26:00.000-04:00,ROC,ROC,US,N,16:57,T16:57:00.000-04:00,ERD,0,FALSE,0 Pcs included
189,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4873,3,ROC,ROC,N,US,15:25,T15:25:00.000-04:00,ORD,ORD,US,3,16:15,T16:15:00.000-04:00,E75,0,TRUE,0 Pcs included
189,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5897,4,ORD,ORD,3,US,19:00,T19:00:00.000-04:00,LHR,LON,GB,3,8:40,T08:40:00.000+01:00,772,1,TRUE,0 Pcs included
188,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4014,1,LHR,LON,3,GB,9:35,T09:35:00.000+01:00,BOS,BOS,US,E,12:10,T12:10:00.000-05:00,772,0,FALSE,0 Pcs included
188,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5728,2,BOS,BOS,B,US,15:26,T15:26:00.000-04:00,ROC,ROC,US,N,16:57,T16:57:00.000-04:00,ERD,0,FALSE,0 Pcs included
188,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5645,3,ROC,ROC,N,US,7:00,T07:00:00.000-04:00,ORD,ORD,US,3,7:50,T07:50:00.000-04:00,E75,0,TRUE,0 Pcs included
188,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5752,4,ORD,ORD,3,US,9:05,T09:05:00.000-04:00,LHR,LON,GB,3,22:40,T22:40:00.000+01:00,772,0,TRUE,0 Pcs included
187,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,3043,1,LHR,LON,5,GB,14:15,T14:15:00.000+01:00,PHL,PHL,US,A,17:15,T17:15:00.000-05:00,359,0,FALSE,0 Pcs included
187,AY,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,3043,2,PHL,PHL,F,US,19:10,T19:10:00.000-04:00,ROC,ROC,US,N,20:50,T20:50:00.000-04:00,ER4,0,FALSE,0 Pcs included
