UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency,CabinClassCode,CabinClassName
111,BA,1,2500,1,LHR,KIN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,1,BA,207,LHR,LON,GB,5,09:35,MIA,MIA,US,N,0,14:35,388,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP,Y,Economy
111,BA,1,2500,1,LHR,KIN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,BA,6980,MIA,MIA,US,N,17:35,KIN,KIN,JM,N,0,19:22,738,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP,Y,Economy
111,BA,1,2500,1,LHR,KIN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,BA,5196,KIN,KIN,JM,N,13:58,MIA,MIA,US,N,0,15:55,738,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP,Y,Economy
111,BA,1,2500,1,LHR,KIN,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,4,BA,208,MIA,MIA,US,N,21:25,LHR,LON,GB,5,1,10:45,777,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP,Y,Economy
