UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,OfferType,ValidFromDate,ValidToDate,Status,ModifiedBy,OperatingCarrierCode,SerialId,IsConnect,AirV,AirlineName,Class,CabinClassCode,CabinClassName,NoSeats,FltNum,D_AirportCode,D_AirportName,D_AirportCityCode,D_AirportCityName,D_AirportCountryCode,D_AirportCountryName,D_Terminal,D_Time,D_DateTimeStamp,A_AirportCode,A_AirportName,A_AirportCityCode,A_AirportCityName,A_AirportCountryCode,A_AirportCountryName,A_Terminal,IsNextDayCount,A_Time,A_DateTimeStamp,EquipType,ElapsedTime,ActualTime,TechStopOver,IsReturn,BI_Pieces,BI_Price,BI_Description,TransitTime,Sector_Key,Distance,ETicket,ChangeOfPlane,ParticipantLevel,OptionalServicesIndicator,AvailabilitySource,Sector_Group,OperatingCarrierName,BookingCodeInfo,FareBasisCode,ItinKey,SupCode,BaggageInfo
164,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,3,FALSE,AY,Finnair,Y,Y,Economy,5,5645,ROC,Rochester-Monroe Cty Arpt ,ROC,Rochester-Monroe Cty Arpt ,US, United States,A,7:00,T07:00:00.000-04:00,ORD,Chicago-O'Hare Intl Arpt,ORD,Chicago-O'Hare Intl Arpt,US, United States,N,0,7:50,T07:50:00.000-05:00,E75,7:01,15:21,0,TRUE,0,0,No check-in baggage included in the fare,NA,b7aade95-ebf7-4572-8879-6065984332e7,0,1,FALSE,Secure Sell,TRUE,RT,1,American Airlines,NA,NA,7fcfd0d5-96a9-4c29-be7d-f5033a4afe46,NA,0 Pcs included
164,AY,1,1001,0,LHR,ROC,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,4,FALSE,AY,Finnair,Y,Y,Economy,5,5752,ORD,Chicago-O'Hare Intl Arpt,ORD,Chicago-O'Hare Intl Arpt,US, United States,N,9:05,T09:05:00.000-05:00,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,3,0,22:40,T22:40:00.000+01:00,772,7:01,15:21,0,TRUE,0,0,No check-in baggage included in the fare,NA,35939e76-6ec2-41de-9e44-11f4d7dd93ef,0,1,FALSE,Secure Sell,TRUE,RT,1,American Airlines,NA,NA,c903ccf9-4aa3-4a1c-8ece-8f8019426727,NA,0 Pcs included
163,AY,1,1001,0,LHR,IAH,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,1,FALSE,AY,Finnair,Y,Y,Economy,5,4029,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,3,10:35,T10:35:00.000+01:00,MIA,Miami-Miami Intl,MIA,Miami-Miami Intl,US, United States,N,0,15:40,T15:40:00.000-04:00,77W,7:01,15:21,0,FALSE,0,0,No check-in baggage included in the fare,NA,e551df66-a26a-4607-8c84-80c6675c2649,0,1,FALSE,Secure Sell,TRUE,RT,0,American Airlines,NA,NA,34bfe4c2-2451-4377-a082-a81b6ffd55da,NA,0 Pcs included
163,AY,1,1001,0,LHR,IAH,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,2,FALSE,AY,Finnair,Y,Y,Economy,5,6844,MIA,Miami-Miami Intl,MIA,Miami-Miami Intl,US, United States,N,19:45,T19:45:00.000-04:00,IAH,Houston-George Bush Intercontinental,IAH,Houston-George Bush Intercontinental,US, United States,A,0,21:31,T21:31:00.000-04:00,319,7:01,15:21,0,FALSE,0,0,No check-in baggage included in the fare,NA,08db9d3d-b1f4-4a29-976b-72d35796e854,0,1,FALSE,Secure Sell,TRUE,RT,0,American Airlines,NA,NA,26639912-44db-4c96-b4ab-1265285cf409,NA,0 Pcs included
163,AY,1,1001,0,LHR,IAH,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,3,FALSE,AY,Finnair,Y,Y,Economy,5,3104,IAH,Houston-George Bush Intercontinental,IAH,Houston-George Bush Intercontinental,US, United States,A,13:35,T13:35:00.000-04:00,CLT,Charlotte-Charlotte Douglas Intl Arpt,CLT,Charlotte-Charlotte Douglas Intl Arpt,US, United States,N,0,17:13,T17:13:00.000-05:00,320,7:01,15:21,0,TRUE,0,0,No check-in baggage included in the fare,NA,a1c0f98e-d82c-4a8a-8c5e-a039167b30a6,0,1,FALSE,Secure Sell,TRUE,RT,1,American Airlines,NA,NA,8b297659-e3c5-477b-af83-acd3bf657cf4,NA,0 Pcs included
163,AY,1,1001,0,LHR,IAH,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,AA,4,FALSE,AY,Finnair,Y,Y,Economy,5,5669,CLT,Charlotte-Charlotte Douglas Intl Arpt,CLT,Charlotte-Charlotte Douglas Intl Arpt,US, United States,N,17:55,T17:55:00.000-05:00,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,3,1,7:00,T07:00:00.000+01:00,772,7:01,15:21,0,TRUE,0,0,No check-in baggage included in the fare,NA,d690c107-86e7-42a3-8566-cd041c91504e,0,1,FALSE,Secure Sell,TRUE,RT,1,American Airlines,NA,NA,4b53f432-4437-4891-b31e-1338d087c54f,NA,0 Pcs included
162,TK,1,1001,0,LHR,EBB,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,TK,1,FALSE,TK,Turkish Airlines,Y,Y,Economy,5,1980,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,2,11:35,T11:35:00.000+01:00,IST,Istanbul-Ataturk Arpt,IST,Istanbul-Ataturk Arpt,TR, Turkey,N,0,18:25,T18:25:00.000+03:00,77W,7:01,15:21,0,FALSE,1,0,1 Pc check-in baggage included in the fare,NA,80db43b6-9e5f-4423-b1cd-3fc2eea628d8,0,1,FALSE,Secure Sell,TRUE,RT,0,Turkish Airlines,NA,NA,7a6767ce-6178-45ce-a177-8cca386ae416,NA,1 Pcs included
162,TK,1,1001,0,LHR,EBB,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,TK,2,FALSE,TK,Turkish Airlines,Y,Y,Economy,5,612,IST,Istanbul-Ataturk Arpt,IST,Istanbul-Ataturk Arpt,TR, Turkey,N,19:35,T19:35:00.000+03:00,EBB,Entebbe-Entebbe Intl Arpt,EBB,Entebbe-Entebbe Intl Arpt,UG, Uganda,N,1,3:55,T03:55:00.000+03:00,73J,7:01,15:21,0,FALSE,1,0,1 Pc check-in baggage included in the fare,NA,52b23d3a-786c-4a71-acf6-c48d25dab3fa,0,1,FALSE,Secure Sell,TRUE,RT,0,Turkish Airlines,NA,NA,93a31473-a749-4061-990c-d79606368ea8,NA,1 Pcs included
162,TK,1,1001,0,LHR,EBB,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,TK,3,FALSE,TK,Turkish Airlines,Y,Y,Economy,5,612,EBB,Entebbe-Entebbe Intl Arpt,EBB,Entebbe-Entebbe Intl Arpt,UG, Uganda,N,4:50,T04:50:00.000+03:00,IST,Istanbul-Ataturk Arpt,IST,Istanbul-Ataturk Arpt,TR, Turkey,N,0,11:30,T11:30:00.000+03:00,73J,7:01,15:21,0,TRUE,1,0,1 Pc check-in baggage included in the fare,NA,6cf754cb-9ee6-45b2-86ab-2f1e698a1d95,0,1,FALSE,Secure Sell,TRUE,RT,1,Turkish Airlines,NA,NA,1fed5a0a-e0ae-4dd5-98cd-3a39393e177d,NA,1 Pcs included
162,TK,1,1001,0,LHR,EBB,TJ_MMD,CALL,1/1/2019 0:00,1/1/2022 0:00,TRUE,Prabhat,TK,4,FALSE,TK,Turkish Airlines,Y,Y,Economy,5,1985,IST,Istanbul-Ataturk Arpt,IST,Istanbul-Ataturk Arpt,TR, Turkey,N,13:25,T13:25:00.000+03:00,LHR,London-Heathrow,LON,London-All London (Airports),GB, United Kingdom,2,0,14:35,T14:35:00.000+01:00,77W,7:01,15:21,0,TRUE,1,0,1 Pc check-in baggage included in the fare,NA,abe65179-3b1a-4226-b935-d9f8571a51a9,0,1,FALSE,Secure Sell,TRUE,RT,1,Turkish Airlines,NA,NA,f109ec9e-cb03-495c-a9b7-4abc8c704fd3,NA,1 Pcs included
