UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo
174,AY,1,1001,0,LHR,ABQ,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,4541,ORD,ORD,US,3,20:15,ABQ,ABQ,US,N,0,22:13,738,False,0,No check-in baggage included in the fare,0,0 Pcs included
174,AY,1,1001,0,LHR,ABQ,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,6408,ABQ,ABQ,US,N,05:05,DFW,DFW,US,0,0,07:55,738,True,0,No check-in baggage included in the fare,1,0 Pcs included
174,AY,1,1001,0,LHR,ABQ,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,4009,DFW,DFW,US,0,15:50,LHR,LON,GB,3,1,06:50,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included
173,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5787,LHR,LON,GB,3,08:40,ORD,ORD,US,5,0,11:35,772,False,0,No check-in baggage included in the fare,0,0 Pcs included
173,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5787,ORD,ORD,US,3,13:20,ALB,ALB,US,N,0,16:15,E75,False,0,No check-in baggage included in the fare,0,0 Pcs included
173,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,6097,ALB,ALB,US,N,14:47,PHL,PHL,US,F,0,16:01,ER4,True,0,No check-in baggage included in the fare,1,0 Pcs included
173,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,5974,PHL,PHL,US,A,19:35,LHR,LON,GB,5,1,07:25,359,True,0,No check-in baggage included in the fare,1,0 Pcs included
172,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5963,LHR,LON,GB,5,12:10,ORD,ORD,US,5,0,15:05,789,False,0,No check-in baggage included in the fare,0,0 Pcs included
172,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5540,ORD,ORD,US,3,18:35,ALB,ALB,US,N,0,21:33,E75,False,0,No check-in baggage included in the fare,0,0 Pcs included
172,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,6098,ALB,ALB,US,N,17:27,PHL,PHL,US,F,0,18:41,ER4,True,0,No check-in baggage included in the fare,1,0 Pcs included
172,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,5974,PHL,PHL,US,A,19:35,LHR,LON,GB,5,1,07:25,359,True,0,No check-in baggage included in the fare,1,0 Pcs included
171,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,3043,LHR,LON,GB,3,14:15,PHL,PHL,US,N,0,17:15,359,False,0,No check-in baggage included in the fare,0,0 Pcs included
171,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,3043,PHL,PHL,US,N,19:25,ALB,ALB,US,A,0,20:49,E75,False,0,No check-in baggage included in the fare,0,0 Pcs included
171,AY,1,1001,0,LHR,ALB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,5752,ALB,ALB,US,A,16:15,ORD,ORD,US,N,0,17:37,E75,True,0,No check-in baggage included in the fare,1,0 Pcs included
