UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency
1,BA,1,1220,1,LON,GOI,FT_JC,10/03/2021,24/03/2021,BA,1,BA,143,LHR,LON,GB,N,16:30,DEL,DEL,IN,N,0,6:30,77W,FALSE,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
1,BA,1,1220,1,LON,GOI,FT_JC,10/03/2021,24/03/2021,UK,2,BA,5871,DEL,DEL,IN,N,11:10,GOI,GOI,IN,N,0,2:00,738,FALSE,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
1,BA,1,1220,1,LON,GOI,FT_JC,10/03/2021,24/03/2021,UK,3,BA,5870,GOI,GOI,IN,N,14:30,DEL,DEL,IN,N,0,13:45,738,TRUE,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
1,BA,1,1220,1,LON,GOI,FT_JC,10/03/2021,24/03/2021,BA,4,BA,142,DEL,DEL,IN,N,8:30,LHR,LON,GB,3,0,6:20,789,TRUE,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
2,SN,1,700,90,LON,BJL,FT_JC,11/05/2021,27/05/2021,SN,1,SN,2094,LHR,LON,GB,2,11:05,BRU,BRU,BE,N,0,13:10,77W,FALSE,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
2,SN,1,700,90,LON,BJL,FT_JC,11/05/2021,27/05/2021,SN,2,SN,217,BRU,BRU,BE,N,15:15,BJL,BJL,GM,N,0,20:45,77W,FALSE,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
2,SN,1,700,90,LON,BJL,FT_JC,11/05/2021,27/05/2021,SN,3,SN,217,BJL,BJL,GM,N,21:55,BRU,BRU,BE,N,0,6:35,77W,TRUE,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
2,SN,1,700,90,LON,BJL,FT_JC,11/05/2021,27/05/2021,SN,4,SN,2093,BRU,BRU,BE,N,9:40,LHR,LON,GB,2,0,10:05,77W,TRUE,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
